Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude,vtkValidPointMask
0,0,0.5,0,0,0.5,-0.0208261,0.000238716,0,0.0208274,1
1,0.001,0.5,0.001,0,0.500001,-0.0226894,0.000288386,0,0.0226912,1
2,0.002,0.5,0.002,0,0.500004,-0.0245526,0.000338056,0,0.024555,1
3,0.003,0.5,0.003,0,0.500009,-0.0264159,0.000387726,0,0.0264188,1
4,0.004,0.5,0.004,0,0.500016,-0.0282792,0.000437397,0,0.0282826,1
5,0.005,0.5,0.005,0,0.500025,-0.0301425,0.000487067,0,0.0301464,1
6,0.006,0.5,0.006,0,0.500036,-0.0320058,0.000536737,0,0.0320103,1
7,0.007,0.5,0.007,0,0.500049,-0.0338691,0.000586407,0,0.0338741,1
8,0.008,0.5,0.008,0,0.500064,-0.0357324,0.000636077,0,0.035738,1
9,0.009,0.5,0.009,0,0.500081,-0.0375956,0.000685747,0,0.0376019,1
10,0.01,0.5,0.01,0,0.5001,-0.0394589,0.000735418,0,0.0394658,1
11,0.011,0.5,0.011,0,0.500121,-0.0428158,0.00086058,0,0.0428245,1
12,0.012,0.5,0.012,0,0.500144,-0.0463406,0.000994224,0,0.0463512,1
13,0.013,0.5,0.013,0,0.500169,-0.0498653,0.00112787,0,0.049878,1
14,0.014,0.5,0.014,0,0.500196,-0.05339,0.00126151,0,0.0534049,1
15,0.015,0.5,0.015,0,0.500225,-0.0569147,0.00139516,0,0.0569318,1
16,0.016,0.5,0.016,0,0.500256,-0.0604395,0.0015288,0,0.0604588,1
17,0.017,0.5,0.017,0,0.500289,-0.0639642,0.00166245,0,0.0639858,1
18,0.018,0.5,0.018,0,0.500324,-0.0674889,0.00179609,0,0.0675128,1
19,0.019,0.5,0.019,0,0.500361,-0.0710136,0.00192973,0,0.0710399,1
20,0.02,0.5,0.02,0,0.5004,-0.0745384,0.00206338,0,0.0745669,1
21,0.021,0.5,0.021,0,0.500441,-0.077742,0.00223069,0,0.077774,1
22,0.022,0.5,0.022,0,0.500484,-0.0808644,0.00240653,0,0.0809002,1
23,0.023,0.5,0.023,0,0.500529,-0.0839868,0.00258236,0,0.0840265,1
24,0.024,0.5,0.024,0,0.500576,-0.0871092,0.0027582,0,0.0871529,1
25,0.025,0.5,0.025,0,0.500625,-0.0902316,0.00293404,0,0.0902793,1
26,0.026,0.5,0.026,0,0.500676,-0.093354,0.00310987,0,0.0934058,1
27,0.027,0.5,0.027,0,0.500728,-0.0964764,0.00328571,0,0.0965323,1
28,0.028,0.5,0.028,0,0.500783,-0.0995988,0.00346155,0,0.0996589,1
